strategy,run_id,map_seed,timestep,coverage,total_distance,overlap_percentage
random,5,5,493,5.27,2465,99.17892309609871
random,5,5,494,5.3,2470,99.1761103079482
random,5,5,495,5.319999999999999,2475,99.17486118435338
random,5,5,496,5.319999999999999,2480,99.17671273154954
random,5,5,497,5.37,2485,99.17083564943488
random,5,5,498,5.37,2490,99.17268791692986
random,5,5,499,5.37,2495,99.17453192732192
random,5,5,500,5.43,2500,99.16716514056964
random,5,5,501,5.47,2505,99.16289177277179
random,5,5,502,5.48,2510,99.16321825039319
random,5,5,503,5.53,2515,99.15744888320079
random,5,5,504,5.53,2520,99.15930616154091
random,5,5,505,5.54,2525,99.15963837145804
random,5,5,506,5.54,2530,99.16147000060543
random,5,5,507,5.55,2535,99.16178336253247
random,5,5,508,5.55,2540,99.163602387124
random,5,5,509,5.55,2545,99.1654135338346
random,5,5,510,5.56,2550,99.16571634355681
random,5,5,511,5.59,2555,99.16303582925332
random,5,5,512,5.6000000000000005,2560,99.16334244692455
random,5,5,513,5.6000000000000005,2565,99.1651385720888
random,5,5,514,5.6000000000000005,2570,99.16692700197855
random,5,5,515,5.6000000000000005,2575,99.1686460807601
random,5,5,516,5.64,2580,99.16449395591373
random,5,5,517,5.66,2585,99.16331598864711
random,5,5,518,5.66,2590,99.1650932263394
random,5,5,519,5.67,2595,99.16539095619406
random,5,5,520,5.6899999999999995,2600,99.16415717958135
random,5,5,521,5.6899999999999995,2605,99.16586038056704
random,5,5,522,5.6899999999999995,2610,99.16755665442629
random,5,5,523,5.6899999999999995,2615,99.16924604333353
random,5,5,524,5.6899999999999995,2620,99.17092858912153
random,5,5,525,5.6899999999999995,2625,99.17260433328487
random,5,5,526,5.6899999999999995,2630,99.17427331698326
random,5,5,527,5.6899999999999995,2635,99.17593558104507
random,5,5,528,5.6899999999999995,2640,99.1775911659705
random,5,5,529,5.6899999999999995,2645,99.17924011193492
random,5,5,530,5.6899999999999995,2650,99.1808824587922
random,5,5,531,5.6899999999999995,2655,99.18245951809652
random,5,5,532,5.6899999999999995,2660,99.18403051639825
random,5,5,533,5.71,2665,99.18273290680865
random,5,5,534,5.71,2670,99.18429736718048
random,5,5,535,5.71,2675,99.18585584943324
random,5,5,536,5.71,2680,99.18746620371688
random,5,5,537,5.71,2685,99.18901261220316
random,5,5,538,5.71,2690,99.19061051497583
random,5,5,539,5.71,2695,99.19214498945969
random,5,5,540,5.71,2700,99.19367365671114
random,5,5,541,5.71,2705,99.19519654963425
random,5,5,542,5.71,2710,99.19671370088489
random,5,5,543,5.71,2715,99.19822514287318
random,5,5,544,5.74,2720,99.19552634160699
random,5,5,545,5.74,2725,99.19709050216814
random,5,5,546,5.74,2730,99.19870452578384
random,5,5,547,5.74,2735,99.20030093205344
random,5,5,548,5.74,2740,99.20189098998887
random,5,5,549,5.75,2745,99.20209813499112
random,5,5,550,5.779999999999999,2750,99.19953467759804
random,5,5,551,5.779999999999999,2755,99.20112781954887
random,5,5,552,5.779999999999999,2760,99.20271463253145
random,5,5,553,5.81,2765,99.20016519823788
random,5,5,554,5.81,2770,99.20169279599884
random,5,5,555,5.81,2775,99.20326920176076
random,5,5,556,5.82,2780,99.20347078708582
random,5,5,557,5.82,2785,99.2050374943656
random,5,5,558,5.86,2790,99.20114511621566
random,5,5,559,5.86,2795,99.20271024095567
random,5,5,560,5.88,2800,99.2015534402455
random,5,5,561,5.88,2805,99.2031224589364
random,5,5,562,5.91,2810,99.20062759525517
random,5,5,563,5.949999999999999,2815,99.19679256999379
random,5,5,564,5.970000000000001,2820,99.19566711127278
random,5,5,565,6.0,2825,99.19320137693632
random,5,5,566,6.05,2830,99.18805024694008
random,5,5,567,6.15,2835,99.17622160308616
random,5,5,568,6.23,2840,99.16705662143191
random,5,5,569,6.260000000000001,2845,99.16454243350373
random,5,5,570,6.260000000000001,2850,99.16603386488683
random,5,5,571,6.260000000000001,2855,99.1675199808503
random,5,5,572,6.279999999999999,2860,99.16640118933843
random,5,5,573,6.3100000000000005,2865,99.16396157668103
random,5,5,574,6.34,2870,99.16153093342503
random,5,5,575,6.34,2875,99.16306944939475
random,5,5,576,6.35,2880,99.16327364246091
random,5,5,577,6.35,2885,99.1647923818543
random,5,5,578,6.39,2890,99.16106501417919
random,5,5,579,6.4,2895,99.16122775287673
