timestep,alpha,beta,gamma,delta
37,-1.4085229635238647,-1.0943965911865234,0.7530114650726318,1.761751413345337
38,1.5695611238479614,-1.2667686939239502,0.9260593056678772,-0.4405340850353241
39,-0.6840837001800537,0.4786341190338135,0.4399855434894562,0.15971942245960236
40,0.513218104839325,-1.3677165508270264,1.5098114013671875,-0.004330063238739967
41,-1.4310182332992554,-0.42718613147735596,1.634308099746704,-0.6060081720352173
42,0.484951376914978,1.0996307134628296,0.3929380178451538,0.2972048223018646
43,1.3734495639801025,-0.08487909287214279,2.0259149074554443,-0.5989135503768921
44,0.21739254891872406,0.8522079586982727,-0.16874660551548004,-0.4512755870819092
45,0.5444040298461914,-3.5422773361206055,-0.480440229177475,-0.8995757102966309
46,2.3054325580596924,1.0438189506530762,-0.6812256574630737,0.334689199924469
47,-0.1684444695711136,0.7441297769546509,-0.0017218650318682194,-0.05551107972860336
48,-0.8074591755867004,0.5315247774124146,-1.93007493019104,-0.6197011470794678
49,0.9154344797134399,-0.8431165218353271,-0.05027663707733154,-0.5542912483215332
50,0.8148782849311829,1.2928131818771362,-0.2592960000038147,-1.0097178220748901
51,0.6174043416976929,0.9463719129562378,0.5870494842529297,1.0312142372131348
52,-1.3297778367996216,0.4474586844444275,-1.6888388395309448,-0.1680077612400055
53,0.13245102763175964,-0.14170996844768524,2.0153634548187256,0.3325634300708771
54,0.2803860604763031,-0.8835868835449219,1.8342311382293701,-0.536706805229187
55,0.6956965923309326,-0.04589538276195526,0.47553107142448425,-1.5386967658996582
56,-0.9653132557868958,0.7309942841529846,-0.374661386013031,1.8956726789474487
57,1.1946585178375244,-1.1379876136779785,0.6188489198684692,1.842107892036438
58,0.4849874973297119,-2.1343555450439453,0.8623477220535278,0.22589711844921112
59,0.7982140183448792,0.49483639001846313,-0.0815591961145401,-1.1730083227157593
60,0.6010486483573914,0.23878400027751923,0.45663660764694214,0.6526612043380737
61,0.022513000294566154,-0.568901538848877,-1.4492807388305664,-0.26804405450820923
62,-0.443673312664032,-0.15322363376617432,-0.09337569773197174,-1.3357501029968262
63,-0.8973369002342224,0.9270533323287964,-0.12194214761257172,-0.3592769205570221
64,2.5296177864074707,-1.1549746990203857,-0.14698414504528046,1.3740975856781006
65,-0.9459551572799683,-0.6252055168151855,0.30403584241867065,-0.15454986691474915
66,0.2557210624217987,0.41817498207092285,-0.9322525262832642,0.21652080118656158
67,0.5182666182518005,0.05412856489419937,-1.2402845621109009,-0.7355708479881287
68,1.2850109338760376,0.24662858247756958,-1.1569228172302246,1.3931926488876343
69,0.5722729563713074,0.761965274810791,-0.6350350379943848,0.1900487244129181
70,-0.3897867202758789,0.7911892533302307,-0.7773662209510803,-2.32991099357605
71,-1.5311174392700195,-0.5850089192390442,1.4059144258499146,0.3429936170578003
72,-0.6968785524368286,1.0824980735778809,1.4163213968276978,-0.8285109996795654
73,-0.09317292273044586,0.1288054883480072,-0.4963604211807251,0.6257611513137817
74,0.25922805070877075,-0.24674943089485168,-0.6602494120597839,1.8615740537643433
75,-0.5159814357757568,-0.5938840508460999,0.14719906449317932,-1.1194764375686646
76,0.018990539014339447,0.08877304941415787,0.6114523410797119,0.3784812390804291
77,-0.4015732407569885,1.7015326023101807,1.149996042251587,0.8763248324394226
78,1.3899859189987183,-0.9784718751907349,-0.6917986273765564,-0.4982391595840454
79,-0.7329685688018799,0.47597911953926086,-0.49602648615837097,-1.215200424194336
80,0.6688126921653748,0.333916038274765,-0.06433556973934174,1.3767839670181274
81,-0.5670034289360046,-0.4065198600292206,0.6393479108810425,-0.18928930163383484
82,-0.1366100162267685,-0.834877610206604,0.20427703857421875,-1.684696078300476
83,-0.5829004645347595,0.47575071454048157,-0.6053719520568848,-2.6778228282928467
84,0.34195199608802795,-0.3550374507904053,0.7004173398017883,0.6251989603042603
85,-0.4829350709915161,0.5323579907417297,-0.7506718635559082,1.4537400007247925
86,0.3302532136440277,1.0257681608200073,0.33007895946502686,0.18587066233158112
87,-1.793243408203125,-2.0367071628570557,-1.3254501819610596,1.2276805639266968
88,0.5411995649337769,-0.7957409024238586,-0.07920967042446136,0.4526938796043396
89,0.23259149491786957,-0.21068285405635834,1.0916131734848022,-0.16042309999465942
90,-1.5726841688156128,-0.15551897883415222,0.19949662685394287,-0.5943820476531982
91,-0.6377567648887634,-0.3203915059566498,-1.0143729448318481,0.440621554851532
92,0.38553351163864136,0.1436786651611328,0.641433835029602,-0.6430473327636719
93,0.43233388662338257,-1.81666100025177,-0.3955235779285431,-0.27052971720695496
94,1.1486144065856934,0.8522151708602905,-0.16517210006713867,1.126283884048462
95,-1.2310495376586914,0.01874682679772377,-0.6222351789474487,-0.48957622051239014
96,-0.4887758493423462,0.9971421360969543,1.0217236280441284,2.9505298137664795
97,1.0599569082260132,0.7713536024093628,-0.270466148853302,-0.6202707886695862
98,0.3568483889102936,-0.21525952219963074,0.18069463968276978,2.023503303527832
99,0.11157364398241043,0.3878541588783264,1.008857011795044,-1.8093910217285156
100,-0.2559259235858917,1.8189489841461182,-2.2824947834014893,-0.7105624079704285
101,-0.0403720997273922,-0.35670211911201477,-0.26541846990585327,-1.1152156591415405
102,1.5692603588104248,1.111650824546814,-0.7284019589424133,0.9052920937538147
103,0.7555665969848633,-0.22695262730121613,0.5679712891578674,0.7491357922554016
104,0.5666186213493347,1.032200813293457,-1.3394824266433716,1.1437900066375732
105,0.8576655387878418,0.21975290775299072,-0.7287680506706238,0.08391983062028885
106,-0.7753427028656006,0.1580905020236969,-0.7974041104316711,1.3450267314910889
107,-0.4794953167438507,-1.5856469869613647,-0.24407827854156494,1.2307294607162476
108,0.40114378929138184,2.094660758972168,-0.8702793717384338,1.4265577793121338
109,-2.0215611457824707,-0.22075366973876953,2.3586082458496094,-1.6341737508773804
110,0.25697749853134155,0.06443896144628525,0.850304365158081,1.436078429222107
111,1.2727605104446411,-0.3275386691093445,0.7485217452049255,-1.3050549030303955
112,1.4949616193771362,1.392021656036377,2.1071150302886963,-0.5321547985076904
113,-1.2580845355987549,0.38008010387420654,-0.0904015302658081,-0.9405848979949951
114,0.11544013768434525,-1.0229371786117554,0.29413583874702454,-2.131713628768921
115,0.7991548180580139,-0.11917277425527573,-1.0722239017486572,-1.7348393201828003
116,0.880264937877655,0.16839580237865448,2.2486252784729004,-0.21632197499275208
117,0.9868557453155518,-0.29256439208984375,0.06760342419147491,-0.12025321274995804
118,-1.366563081741333,0.1337646245956421,0.17066878080368042,-0.8846567273139954
119,1.463879942893982,1.9680198431015015,-0.12843455374240875,0.8429161310195923
120,-0.13865219056606293,0.13157787919044495,0.7976088523864746,1.8951438665390015
121,-1.204128384590149,1.217517375946045,0.452758252620697,0.0013428027741611004
122,0.048953212797641754,0.5128029584884644,-0.45552894473075867,1.176124095916748
123,-0.09948566555976868,0.7457870244979858,-0.0034349923953413963,-0.09418496489524841
124,-1.7732300758361816,2.1398231983184814,-1.2909985780715942,-1.3414543867111206
125,-0.7074458599090576,0.09160347282886505,2.5231773853302,1.0957471132278442
126,2.4129886627197266,-0.04936767742037773,-0.287661075592041,0.627132773399353
127,1.0994452238082886,-0.2359616458415985,-0.2936645746231079,-0.697856068611145
128,-1.5341213941574097,-0.33841827511787415,-0.8587362766265869,-0.7943302392959595
129,-0.8512371182441711,-0.9671706557273865,1.0109258890151978,-2.5401322841644287
130,0.6232296824455261,0.002225944772362709,-1.250686764717102,-1.5683534145355225
131,-0.05048117786645889,-0.7524167895317078,0.5146636962890625,-0.7041459679603577
132,-1.4933754205703735,0.6043928861618042,-1.7593458890914917,0.29392731189727783
133,-0.8662816286087036,-0.5453824400901794,-2.5670254230499268,1.0244582891464233
134,0.8378120064735413,-1.568447470664978,0.3654363453388214,-0.4303724467754364
135,0.8354441523551941,-2.8432650566101074,0.28453612327575684,1.5401957035064697
136,-0.37620779871940613,0.5943020582199097,-1.2771188020706177,1.0326354503631592
